date,open,high,low,close,volume,average,barCount
2025-08-20 17:00:00-05:00,23323.0,23339.75,23319.25,23332.25,983.0,23330.65,687
2025-08-20 17:05:00-05:00,23331.75,23342.5,23322.5,23329.0,671.0,23332.075,512
2025-08-20 17:10:00-05:00,23329.25,23336.75,23321.0,23324.5,476.0,23327.425,347
2025-08-20 17:15:00-05:00,23324.5,23329.5,23315.0,23316.0,457.0,23320.525,328
2025-08-20 17:20:00-05:00,23315.0,23332.25,23313.5,23331.25,362.0,23322.625,242
2025-08-20 17:25:00-05:00,23332.5,23337.0,23326.0,23334.75,346.0,23331.75,256
2025-08-20 17:30:00-05:00,23334.25,23338.25,23323.25,23323.5,356.0,23331.225,283
2025-08-20 17:35:00-05:00,23324.25,23325.75,23315.25,23316.25,550.0,23319.8,381
2025-08-20 17:40:00-05:00,23315.75,23321.75,23313.25,23318.25,289.0,23316.65,223
2025-08-20 17:45:00-05:00,23318.25,23320.0,23315.0,23318.0,172.0,23317.475,150
2025-08-20 17:50:00-05:00,23318.25,23321.75,23317.25,23320.0,144.0,23319.85,116
2025-08-20 17:55:00-05:00,23320.5,23322.75,23318.0,23320.0,102.0,23319.925,90
2025-08-20 18:00:00-05:00,23319.75,23324.25,23315.25,23316.75,199.0,23319.95,143
2025-08-20 18:05:00-05:00,23317.25,23330.0,23306.25,23328.0,577.0,23318.45,395
2025-08-20 18:10:00-05:00,23327.75,23329.25,23321.0,23323.25,191.0,23325.35,146
2025-08-20 18:15:00-05:00,23323.5,23327.5,23322.0,23324.75,115.0,23325.05,84
2025-08-20 18:20:00-05:00,23325.0,23325.0,23318.5,23319.75,127.0,23321.025,94
2025-08-20 18:25:00-05:00,23319.75,23322.0,23314.0,23316.0,236.0,23317.65,178
2025-08-20 18:30:00-05:00,23314.75,23315.75,23306.25,23308.5,419.0,23309.55,296
2025-08-20 18:35:00-05:00,23307.75,23313.75,23307.25,23313.75,184.0,23310.025,138
2025-08-20 18:40:00-05:00,23313.0,23319.0,23311.0,23313.25,251.0,23315.2,173
2025-08-20 18:45:00-05:00,23313.0,23315.75,23306.0,23306.5,211.0,23310.9,156
2025-08-20 18:50:00-05:00,23306.0,23321.5,23305.75,23320.0,268.0,23313.2,198
2025-08-20 18:55:00-05:00,23320.75,23323.5,23314.75,23318.5,245.0,23318.975,191
2025-08-20 19:00:00-05:00,23318.5,23319.0,23304.0,23312.0,775.0,23310.575,565
2025-08-20 19:05:00-05:00,23313.0,23320.5,23309.0,23313.75,258.0,23315.45,187
2025-08-20 19:10:00-05:00,23314.25,23323.5,23310.75,23314.5,300.0,23318.1,238
2025-08-20 19:15:00-05:00,23314.25,23316.0,23297.0,23297.0,591.0,23304.425,427
2025-08-20 19:20:00-05:00,23297.5,23299.75,23277.25,23279.25,852.0,23286.525,624
2025-08-20 19:25:00-05:00,23279.0,23286.5,23268.5,23286.0,958.0,23275.8,628
2025-08-20 19:30:00-05:00,23286.0,23305.5,23284.0,23304.75,624.0,23295.9,459
2025-08-20 19:35:00-05:00,23305.0,23312.0,23300.5,23303.5,417.0,23305.8,317
2025-08-20 19:40:00-05:00,23304.75,23311.5,23303.25,23305.5,262.0,23307.025,202
2025-08-20 19:45:00-05:00,23306.25,23307.75,23285.25,23289.5,480.0,23295.375,375
2025-08-20 19:50:00-05:00,23290.25,23295.75,23277.0,23284.0,531.0,23286.875,387
2025-08-20 19:55:00-05:00,23283.75,23294.25,23283.75,23292.25,197.0,23290.625,157
2025-08-20 20:00:00-05:00,23291.5,23296.5,23278.25,23283.0,798.0,23286.95,513
2025-08-20 20:05:00-05:00,23283.75,23286.75,23267.75,23280.5,838.0,23275.175,596
2025-08-20 20:10:00-05:00,23281.5,23286.25,23267.25,23284.5,580.0,23277.325,422
2025-08-20 20:15:00-05:00,23283.5,23285.75,23274.25,23280.5,322.0,23280.375,269
2025-08-20 20:20:00-05:00,23279.0,23298.75,23274.5,23296.0,569.0,23286.6,397
2025-08-20 20:25:00-05:00,23296.75,23298.5,23287.5,23295.0,310.0,23293.575,236
2025-08-20 20:30:00-05:00,23295.25,23303.25,23295.0,23302.25,292.0,23299.7,222
2025-08-20 20:35:00-05:00,23301.5,23303.25,23298.0,23301.5,157.0,23300.6,129
2025-08-20 20:40:00-05:00,23301.5,23309.0,23299.75,23303.5,312.0,23304.35,227
2025-08-20 20:45:00-05:00,23303.0,23313.0,23302.75,23310.0,305.0,23309.05,229
2025-08-20 20:50:00-05:00,23309.75,23335.25,23309.75,23331.25,939.0,23324.6,610
2025-08-20 20:55:00-05:00,23331.5,23355.0,23330.0,23353.5,1222.0,23345.25,758
2025-08-20 21:00:00-05:00,23353.0,23357.5,23350.0,23353.0,545.0,23353.075,408
2025-08-20 21:05:00-05:00,23353.25,23356.0,23341.5,23343.0,617.0,23348.9,469
2025-08-20 21:10:00-05:00,23342.75,23363.0,23341.5,23362.25,848.0,23354.625,558
2025-08-20 21:15:00-05:00,23361.75,23363.5,23348.75,23363.5,622.0,23357.675,470
2025-08-20 21:20:00-05:00,23362.25,23369.25,23362.0,23363.75,494.0,23365.875,366
2025-08-20 21:25:00-05:00,23364.0,23366.5,23360.0,23363.5,433.0,23362.225,225
2025-08-20 21:30:00-05:00,23363.5,23368.0,23355.5,23357.25,458.0,23361.1,305
2025-08-20 21:35:00-05:00,23357.0,23358.75,23352.0,23356.0,192.0,23355.075,157
2025-08-20 21:40:00-05:00,23356.5,23359.5,23350.75,23356.75,184.0,23354.625,137
2025-08-20 21:45:00-05:00,23356.5,23358.0,23348.75,23351.5,246.0,23353.175,186
2025-08-20 21:50:00-05:00,23351.5,23359.5,23351.0,23357.25,207.0,23356.175,161
2025-08-20 21:55:00-05:00,23357.5,23357.5,23353.0,23354.5,116.0,23355.35,85
2025-08-20 22:00:00-05:00,23354.25,23355.75,23349.75,23352.25,132.0,23352.825,113
2025-08-20 22:05:00-05:00,23352.5,23360.25,23349.75,23358.75,198.0,23355.325,149
2025-08-20 22:10:00-05:00,23358.5,23358.5,23351.5,23351.5,100.0,23354.975,74
2025-08-20 22:15:00-05:00,23351.25,23351.25,23343.75,23345.75,262.0,23347.5,205
2025-08-20 22:20:00-05:00,23345.0,23346.5,23336.25,23345.25,361.0,23342.075,269
2025-08-20 22:25:00-05:00,23345.25,23350.25,23345.25,23347.25,149.0,23347.325,114
2025-08-20 22:30:00-05:00,23348.75,23349.75,23341.5,23347.75,147.0,23346.525,128
2025-08-20 22:35:00-05:00,23349.0,23352.0,23345.0,23350.5,163.0,23349.175,135
2025-08-20 22:40:00-05:00,23350.75,23353.25,23346.75,23346.75,131.0,23350.775,106
2025-08-20 22:45:00-05:00,23348.0,23351.5,23343.5,23349.75,172.0,23347.85,139
2025-08-20 22:50:00-05:00,23350.5,23355.0,23348.25,23349.25,177.0,23351.675,133
2025-08-20 22:55:00-05:00,23349.0,23350.25,23341.5,23342.0,183.0,23345.525,139
2025-08-20 23:00:00-05:00,23341.5,23343.0,23337.0,23340.0,278.0,23339.65,224
2025-08-20 23:05:00-05:00,23340.0,23340.25,23334.25,23335.5,228.0,23336.8,166
2025-08-20 23:10:00-05:00,23335.5,23337.25,23332.5,23334.75,214.0,23334.425,158
2025-08-20 23:15:00-05:00,23335.0,23344.0,23335.0,23337.25,258.0,23339.2,186
2025-08-20 23:20:00-05:00,23337.0,23337.5,23332.0,23336.25,154.0,23334.925,109
2025-08-20 23:25:00-05:00,23337.5,23339.75,23334.0,23336.5,144.0,23336.325,101
